id,espanol,intencion,shiwilu,fuente,estado_filtro,detalle_filtro,similitud_labse
RT_0098,Leo los comentarios de nuestros padres.,DES,lunpalek tataweklusa' tuluner'kasu',retrotraduccion,aprobado,,0.3804
RT_0099,- Quiero más.,DES,a'pinta' luwantulek,retrotraduccion,aprobado,,0.5383
RT_0100,Estaba despierta.,DES,nanpiladasu' ñapawinek,retrotraduccion,aprobado,,0.5451
RT_0101,Estaba mareaso.,DES,ñapawinek ñapawinek,retrotraduccion,aprobado,,0.324
RT_0102,estaba cansada.,DES,saka'tusu' ñapawinek,retrotraduccion,aprobado,,0.5553
RT_0103,Me equivoqué.,DES,aper'su' ñapalek,retrotraduccion,aprobado,,0.5352
RT_0104,Soy finlandesa.,DES,finlandis nuka'ka,retrotraduccion,aprobado,,0.4056
RT_0105,Soy turco.,DES,turku nuka'ka,retrotraduccion,aprobado,,0.43
RT_0106,"Me llamo ""Pandilla"".",DES,"llillinwek ""pandilla"".",retrotraduccion,aprobado,,0.2325
RT_0107,Me llamo mujer.,DES,llillinwek ku'aper.,retrotraduccion,aprobado,,0.2318
RT_0108,Estoy casada.,DES,sadasu' ñapalek,retrotraduccion,aprobado,,0.5283
RT_0109,Ahora estoy un vivo entusiasmo.,DES,ipa'la ñapalek musu' ñapalek.,retrotraduccion,aprobado,,0.2574
RT_0110,Ayuno. Estoy ayunando.,DES,ayuno. ayuno'apalek.,retrotraduccion,revisar_hablante_nativo,semantico(sim=0.145),0.1453
RT_0111,Estoy saludada.,DES,lli'tusu' ñapalek,retrotraduccion,aprobado,,0.5437
RT_0112,- Ustedes me traicionaron.,DES,- kenmama' wa'danpilalun,retrotraduccion,aprobado,,0.4623
RT_0113,"No puedes creerme. - Usted la ha traicionado. No, no me lo has traicionado a mí ni me parece así.",DES,"- kenma u'chimuinpu'la. ma'i, ku'la u'chimuinpu'la a'chimuinpu'la'u, nu'su' lli'inpu'su'.",retrotraduccion,revisar_hablante_nativo,semantico(sim=0.191),0.1913
RT_0114,Puedes pasar ustedes.,DES,kenmama' ku'la nakulli kenmama',retrotraduccion,aprobado,,0.4519
RT_0115,Usted puede decirnos.,DES,kenma yennitula winta'mudek,retrotraduccion,aprobado,,0.3426
RT_0116,Estás tan triste.,DES,u'chimu we'inutusu' ñapala,retrotraduccion,aprobado,,0.5311
RT_0117,- Deberías dormir.,DES,- wichi'masu' ñapalli,retrotraduccion,aprobado,,0.4553
RT_0118,Deberían quedárselo.,DES,kananer'kasu' ñapalli,retrotraduccion,aprobado,,0.5103
RT_0119,Han escapado.,DES,chi'lek'llina',retrotraduccion,aprobado,,0.5464
RT_0120,- No se atreve.,DES,-yatencha'ta,retrotraduccion,aprobado,,0.3557
RT_0121,¡Bravo!,EMO,¡mupalli!,retrotraduccion,aprobado,,0.4562
RT_0122,"- Oh, ¡no!",EMO,- ¡ma'sha!,retrotraduccion,aprobado,,0.3451
RT_0123,Me contento.,EMO,sakeksu' ñapalek,retrotraduccion,aprobado,,0.7936
RT_0124,Eso es triste.,EMO,nu'su' nuka'a,retrotraduccion,aprobado,,0.7546
RT_0125,El lo siente como si yo me fuera.,EMO,nana lli'i'su' kua pa'apalek.,retrotraduccion,aprobado,,0.3267
RT_0126,Ha sentido dolor.,EMO,iker'lli,retrotraduccion,aprobado,,0.5598
RT_0127,Por que estás contento!,EMO,¡ma'ki musu' ñapala!,retrotraduccion,aprobado,,0.4651
RT_0128,Te amo. Tengo gran tristeza.,EMO,luantullien. wapu' yennipalek.,retrotraduccion,aprobado,,0.3608
RT_0129,"¡Ay, qué sueno!",EMO,¡ma'sha! ¡enpu'ni lli'inupa'!,retrotraduccion,aprobado,,0.4608
RT_0130,Me alegro.,EMO,musu' ñapalek,retrotraduccion,aprobado,,0.7197
RT_0131,¡Qué humillante! ¡Hola!,EMO,¡embu'ni enpu'nipa'! lli'au!,retrotraduccion,aprobado,,0.4914
RT_0132,Qué suerte!,EMO,¡embu'ni mulli'ipa'!,retrotraduccion,aprobado,,0.5593
RT_0133,¿Qué tan contento estoy!,EMO,¡embu'ni musu' ñapalek!,retrotraduccion,aprobado,,0.4864
RT_0134,Me asusta.,EMO,imanantusu',retrotraduccion,aprobado,,0.7461
RT_0135,Eso me duele mucho.,EMO,nana musu' ikerlli,retrotraduccion,aprobado,,0.7006
RT_0136,¡Eso está feo!,EMO,¡nasu' u'chimu!,retrotraduccion,aprobado,,0.5359
RT_0137,Me divierte.,EMO,sakek'su',retrotraduccion,aprobado,,0.7851
RT_0138,Pero de verdad qué horror. Pero el chico te puso bien delante al pie de la letra.,EMO,tekkinchima enpu'ni enpu'nipa' enpu'nipa' nana wila u'chimu lli'inupa'lli.,retrotraduccion,aprobado,,0.4423
RT_0139,¡Que triste es esta sensación... mi dolor!,EMO,¡enpu'ni lli'inutapa' asu' sensación... ikerpi'lek!,retrotraduccion,aprobado,,0.3191
RT_0140,No tengo ningún sueño.,EMO,ku'la ala'sa' wa'lata'pi'nek,retrotraduccion,aprobado,,0.7422
RT_0141,¡ Qué alegría!,EMO,¡embu'ni sakeksu'!,retrotraduccion,aprobado,,0.5559
RT_0142,Me preocupo bastante un par de kilómetros.,EMO,a'pinta' luwek'apalek ala'sa' kilometr.,retrotraduccion,aprobado,,0.2631
RT_0143,"¡Ay, qué frío!",EMO,"¡u'chimu, empu'ni sanek'ipa'!",retrotraduccion,aprobado,,0.4052
RT_0144,¡No puedo dormir en eso! Yo estoy incómodo.,EMO,¡yennitulek wichi'nek! kua iker'su' ñapalek.,retrotraduccion,aprobado,,0.2577
RT_0145,¡Qué orgullo!,EMO,¡enpu'ni iker'ipa'!,retrotraduccion,aprobado,,0.5112
RT_0146,"¡Ay, qué ira!",EMO,¡ma'sha! ¡enpu'ni pilli'pa'!,retrotraduccion,aprobado,,0.4218
RT_0147,Qué mal me siento. Mira qué extraño...,EMO,enpu'ni ñapalek. lli'ker' enpu'ni u'chimu...,retrotraduccion,aprobado,,0.3853
RT_0148,Qué pena!,EMO,¡embu'ni ñinchitulek!,retrotraduccion,aprobado,,0.4562
RT_0149,Eso me aflige.,EMO,nana luwek'apalek,retrotraduccion,aprobado,,0.7258
RT_0150,¡Cuánto me lastima!,EMO,¡embu'ni ñinchichi'nek!,retrotraduccion,aprobado,,0.4767
RT_0151,"¡Oh, eso es bonito!",EMO,¡ma'sha u'chimusha!,retrotraduccion,aprobado,,0.4704
RT_0152,Estoy desesperada.,EMO,ñapalek ñapalek,retrotraduccion,aprobado,,0.5098
RT_0153,¡Me alegra mucho mucho verlo!,EMO,¡enpu'ni imbu'ni sakeksu' lli'amu!,retrotraduccion,aprobado,,0.3692
RT_0154,"¡Oh, qué me alegro de la niña!",EMO,¡enpu'ni daker'i'na wilakuaper!,retrotraduccion,aprobado,,0.3393
RT_0155,estoy preocupada.,EMO,worried ñapalek,retrotraduccion,aprobado,,0.4559
RT_0156,¡Qué interesante!,EMO,¡enpu'ni musu'pa'!,retrotraduccion,aprobado,,0.593
RT_0157,"Ay, ¡me alegro!",EMO,¡ma'sha sakeksu'!,retrotraduccion,aprobado,,0.515
RT_0158,¿Por qué quieres que asista de tu vida?,EMO,¿ma'ki'na luwantulek nanpipen?,retrotraduccion,revisar_hablante_nativo,semantico(sim=0.156),0.1555
RT_0159,¡Qué feliz estoy con la gente ah!,EMO,¡enpu'ni musu' ñapalek antu'lek ah!,retrotraduccion,aprobado,,0.4171
RT_0160,Qué bonito.,EMO,embu'ni mulunsha,retrotraduccion,aprobado,,0.7211
RT_0161,¡¿Me alegro tanto de tu mazote? !,EMO,¿musu'cha sakek'su' a'cha?,retrotraduccion,aprobado,,0.2589
RT_0162,Estoy emocionada.,EMO,ñapalek sakeksu',retrotraduccion,aprobado,,0.7732
RT_0163,Qué peligro.,EMO,embu'ni enpu'ni u'chimu,retrotraduccion,aprobado,,0.7844
RT_0164,¡Cuánto extraño al chacra!,EMO,¡enpu'ni a'cha luwanpalek menmik!,retrotraduccion,aprobado,,0.4168
RT_0165,Y a mí tengo mis peras con esto.,EMO,kua a'ñapalusa' asu'lek wa'danpinta'.,retrotraduccion,aprobado,,0.436
RT_0166,"¡Que contenta, esa guisada!",EMO,¡enpu'ni musu' nana panwala!,retrotraduccion,aprobado,,0.433
RT_0167,"¡Oh, qué belleza!",EMO,¡enpu'ni u'chimusha!,retrotraduccion,aprobado,,0.5072
RT_0168,¡Me contagió abuela!,EMO,¡a'kaluwiñun amisha!,retrotraduccion,aprobado,,0.4614
RT_0169,¡Lo miedo es la muerte!,EMO,¡ateklusa' chimiñi!,retrotraduccion,aprobado,,0.5018
RT_0170,"- ¡Músgico, genial!",EMO,"- ¡muñin, u'chimu!",retrotraduccion,aprobado,,0.3898
RT_0171,Como al día siguiente es el amanecer.,EMO,uklli ukllin ukllin uklli.,retrotraduccion,aprobado,,0.2244
RT_0172,¡Qué alegre estoy con los shiwilu!,EMO,¡embu'ni sakeksu' ñapalek shiwilu'lusa'lek!,retrotraduccion,aprobado,,0.3249
RT_0173,Oh. ¡Qué confusión!,EMO,¡ma'nen luwer'chi'ñi!,retrotraduccion,aprobado,,0.4728
RT_0174,Que encanto,EMO,enpu'ni u'chimusha,retrotraduccion,aprobado,,0.8419
RT_0175,¡Eso es curioso!,EMO,¡nasu' nuka'a!,retrotraduccion,aprobado,,0.4785
RT_0176,¡Qué triste!,EMO,¡embu'ni we'inutusu'!,retrotraduccion,aprobado,,0.614
RT_0177,- Eso es lindo !,EMO,- ¡mupalli nuka'a !,retrotraduccion,aprobado,,0.3749
RT_0178,Eso sí que es gracioso.,EMO,nana' u'chimusha nuka'a,retrotraduccion,aprobado,,0.7877
RT_0179,Un montón de cosas curiosas.,EMO,enpu'nipa' musu' ñinchitusu' ñapalli.,retrotraduccion,aprobado,,0.4689
RT_0180,¡Que peso!,EMO,¡enpu'ni iker'ipa'!,retrotraduccion,aprobado,,0.5112
RT_0181,¡Qué horror!,EMO,¡enpu'ni iker'ipa'!,retrotraduccion,aprobado,,0.5112
RT_0182,¡Que romántica!,EMO,¡enpu'ni u'chimusha!,retrotraduccion,aprobado,,0.5072
RT_0183,-¡Eso es lo mejor!,EMO,-Nasu' nuka'a!,retrotraduccion,aprobado,,0.3683
RT_0184,¡Es fantástico!,EMO,¡u'chimuinchi nuka'a!,retrotraduccion,aprobado,,0.4663
RT_0185,Que fiasco!,EMO,¡embu'ni ma'nenpa'!,retrotraduccion,aprobado,,0.5534
RT_0186,- Que alivio.,EMO,- embu'ni ñapalek,retrotraduccion,aprobado,,0.5643
RT_0187,Esa es una pena.,EMO,nana nu'su' ñapalli,retrotraduccion,aprobado,,0.6999
RT_0188,-¡Es muy humillante! -¡Es cierto!,EMO,- ¡enpu'ni u'chimuinchi nuka'a!,retrotraduccion,aprobado,,0.3611
RT_0189,"Sí, nada.",NEG,tekinchi,retrotraduccion,aprobado,,0.5093
RT_0190,No comeré.,NEG,weranpi'nek,retrotraduccion,aprobado,,0.6649
RT_0191,No hemos habla dido jamás sobre ello.,NEG,ñi lunpi'ñidek ñi enpi' nanalek.,retrotraduccion,aprobado,,0.453
RT_0192,No he elegido.,NEG,ku'la tekchi'nek,retrotraduccion,aprobado,,0.6526
RT_0193,No lo entiendo.,NEG,ñinchichi'nek,retrotraduccion,aprobado,,0.7961
RT_0194,No ha niido un grito.,NEG,ñi ala'sa' lamapu'ñi.,retrotraduccion,aprobado,,0.5579
RT_0195,No tiene agua.,NEG,ku'la dek'ñi,retrotraduccion,aprobado,,0.8121
RT_0196,"No, no,no, no,no,noNo,no,no,no,no,no,no,no,noNo no, no, no,no,no",NEG,"ma'sha, ma'sha, ma'sha, ma'sha, ma'sha, ma'sha, ma'sha, ma'sha, ma'sha, ma'sha, ma'sha, ma'sha, ma'sha, ma'sha",retrotraduccion,aprobado,,0.278
RT_0197,- Nada de maíz.,NEG,- ñi ma'i'ñi,retrotraduccion,aprobado,,0.6286
RT_0198,Ni hablar.,NEG,ku'la lunpi'nek,retrotraduccion,aprobado,,0.7732
RT_0199,no hay pescados.,NEG,ku'la samer'wanpi'ñi,retrotraduccion,aprobado,,0.7576
RT_0200,No soy nada abuelos.,NEG,ñi enpu'ni papinku'lusa'.,retrotraduccion,aprobado,,0.5359
RT_0201,Para mí es muy grave.,NEG,kualek enpu'ni ikersu' nuka'a,retrotraduccion,aprobado,,0.6138
RT_0202,Estoy extrañando a la yuca.,NEG,luwer'wanpalek ker',retrotraduccion,aprobado,,0.6737
RT_0203,Alguien viene aquí.,NEG,ala'sa' uk'apilelli asek,retrotraduccion,aprobado,,0.6512
RT_0204,¿Quién lo sabe?,NEG,¿den ñinchitapalli?,retrotraduccion,aprobado,,0.3637
RT_0205,Nadie vendrá,NEG,ñiden uk'i'ñi,retrotraduccion,aprobado,,0.8832
RT_0206,Nadie va a pescar. Que la pelota entre en la pista.,NEG,ñiden pur'i'nchu. a'pinta' panwala pistak.,retrotraduccion,aprobado,,0.3783
RT_0207,Nadie siembra..,NEG,ñiden tera'i'ñi,retrotraduccion,aprobado,,0.8852
RT_0208,Aquí nadie muele.,NEG,asek ñiden pek'i'ñi.,retrotraduccion,aprobado,,0.5052
RT_0209,nadie esta de puntas.,NEG,ñiden u'chi'ñi.,retrotraduccion,aprobado,,0.6528
RT_0210,Él nunca siembra.,NEG,nana ku'la tera'pi'ñi,retrotraduccion,aprobado,,0.7584
RT_0211,"Sí, no, no está a punto ninguna luz.",NEG,"- ma'sha, ma'sha, a'pintapi'ñi ninchi'ñi.",retrotraduccion,aprobado,,0.2817
RT_0212,Yo nunca voy.,NEG,kua ku'la pa'api'nek,retrotraduccion,aprobado,,0.7697
RT_0213,Nunca mastique.,NEG,ñinpi' peklu'pi'nek,retrotraduccion,aprobado,,0.874
RT_0214,Ya no hay más.,NEG,a'pinta' ñapawi'ñi.,retrotraduccion,aprobado,,0.63
RT_0215,Se ha ido.,NEG,pa'lli,retrotraduccion,aprobado,,0.5402
RT_0216,Es asunto cerrado.,NEG,ku'la unku' nuka'a,retrotraduccion,aprobado,,0.7209
RT_0217,Ha perdido.,NEG,kana'lli,retrotraduccion,aprobado,,0.5914
RT_0218,No estoy más pescando más.,NEG,ñi a'pinta' pur'apalek ya'pinta'.,retrotraduccion,aprobado,,0.4873
RT_0219,Eso hace todo.,NEG,nana nu'tapalli iñer',retrotraduccion,aprobado,,0.6669
RT_0220,No siembra ya.,NEG,ku'la tera'pi'ñi ipa',retrotraduccion,aprobado,,0.8027
RT_0221,De momento está en el hospital.,NEG,ipa'la kaluwi'palli,retrotraduccion,aprobado,,0.738
RT_0222,"No llueve, me está dando problemas.",NEG,"u'lanpi'ñi, a'pinta'pallinerku.",retrotraduccion,aprobado,,0.3923
RT_0223,Esto es todo.,NEG,asu' iñer',retrotraduccion,aprobado,,0.7378
RT_0224,Sin pescado.,NEG,samer'wanek,retrotraduccion,aprobado,,0.6713
RT_0225,No es de mandioca.,NEG,ma'i'na panwalalupa'.,retrotraduccion,aprobado,,0.5137
RT_0226,Si no hay chicha.,NEG,a'pinta' ñapalli.,retrotraduccion,aprobado,,0.625
RT_0227,Yo no copio.,NEG,kua ku'la copi'i'nek,retrotraduccion,aprobado,,0.7049
RT_0228,Ya no es una siembra.,NEG,ñi a'pinta' tera'su'.,retrotraduccion,aprobado,,0.5934
RT_0229,Hoy no es que lo pesque.,NEG,ipa'la samer'i'ñi.,retrotraduccion,aprobado,,0.477
RT_0230,No bebo.,NEG,ku'la u'ñi,retrotraduccion,aprobado,,0.7915
RT_0231,- No puede. - ¿Y entonces quién eres?,NEG,- ma'pu'si'ñi. - ¿den ipa'la ¿den a'cha?,retrotraduccion,aprobado,,0.279
RT_0232,Ni fardo.,NEG,ninchi'nek,retrotraduccion,aprobado,,0.6291
RT_0233,¡No chacras!,NEG,¡yataka'ta!,retrotraduccion,aprobado,,0.2703
RT_0234,Yo tengo poco maíz.,NEG,kua luwanpalek ma'nen'apalek,retrotraduccion,aprobado,,0.6999
RT_0235,Me falta poder.,NEG,luwanwantulek iyapa'su',retrotraduccion,aprobado,,0.7655
RT_0236,No estoy sano.,NEG,ku'la sansa'pi'nek,retrotraduccion,aprobado,,0.7105
RT_0237,Me negaré a irme.,NEG,luwanchi'nek pa'echek,retrotraduccion,aprobado,,0.6641
RT_0238,Nadie se cria.,NEG,ñiden wichi'ñi,retrotraduccion,aprobado,,0.8504
RT_0239,Nadea despierta.,NEG,damer' nanpiladasu',retrotraduccion,aprobado,,0.7339
RT_0240,Nadie da el suministro de agua.,NEG,ñiden u'chi'ñi dekkunta'su'.,retrotraduccion,aprobado,,0.5637
RT_0241,Nadie recolecta.,NEG,ñiden pek'chi'ñi,retrotraduccion,aprobado,,0.909
RT_0242,Pero nunca coeo.,NEG,ñi'na ku'la ekpi'pi'nek,retrotraduccion,aprobado,,0.8084
RT_0243,Yo nunca sano.,NEG,kua ku'la kaluwi'pi'nek,retrotraduccion,aprobado,,0.7799
RT_0244,Nunca volverá.,NEG,ku'la adanta'pi'ñi,retrotraduccion,aprobado,,0.8583
RT_0245,"""Jamás aprendié la mierda, yo mismo, tú mismo."" y tu sabes, nunca aprendí.",NEG,"- ñinchichi'nek ñinchichi'nek, kua, kenma.",retrotraduccion,aprobado,,0.3234
RT_0246,La tienes?,PRG,¿a'ñapala?,retrotraduccion,aprobado,,0.6276
RT_0247,¿De verdad? - Sí. Gracias...,PRG,¿tekinchi? - yes. yuspein...,retrotraduccion,aprobado,,0.3865
RT_0248,¿Quién huyo?,PRG,¿den chipe'lli?,retrotraduccion,aprobado,,0.6074
RT_0249,¿ Quién ganó?,PRG,¿den kana'tulli?,retrotraduccion,aprobado,,0.6605
RT_0250,Â¿Estoy gorda o qué?,PRG,¿weipensu' ñapalek ma'nen?,retrotraduccion,aprobado,,0.6072
RT_0251,¿Está murió? Sí.,PRG,¿chimiñi?,retrotraduccion,aprobado,,0.544
RT_0252,- Si. ¿Se mide?,PRG,- ¡a'cha! ¿tekinchi'cha?,retrotraduccion,aprobado,,0.5346
RT_0253,¿Es alta?,PRG,¿shipen a'cha?,retrotraduccion,aprobado,,0.652
