id_origen,espanol_original,espanol,shiwilu,intencion,fuente
126,Terminamos.,Hemos terminado.,a'ta'wantullidek,DES,retrotraduccion
127,Estamos acá.,Ya llegamos. - ¿Alivia?,- ipa' ektu'llidek.,DES,retrotraduccion
129,Somos pobres.,No podemos. Nosotros éramos pobresmos.,yennichi'ñidek. kenmu'wa' mudinpu'llidek.,DES,retrotraduccion
131,Somos débiles.,Estamos deficitarios.,aper'su' ñapallidek,DES,retrotraduccion
132,Cuenta conmigo.,Completame.,a'ta'uker',DES,retrotraduccion
133,Termine esto.,Acaba bien con esto.,musu' a'ta'wanter asu'lek,DES,retrotraduccion
134,Terminen esto.,Termina esto.,a'ta'wanter asu',DES,retrotraduccion
135,Él envejeció.,Lleva edad.,taserpiku'la,DES,retrotraduccion
136,¡Ha venido!,Está aquí!,asek' ñapalli,DES,retrotraduccion
137,Tiene vino.,Ha comprado vino.,mapa'lli vinu',DES,retrotraduccion
138,Es feliz.,Está feliz.,musu' ñapalli,DES,retrotraduccion
139,Le gustó.,-Le gustó.,- iyatulli,DES,retrotraduccion
140,Está fingiendo.,A decir verdad no es así. Lo esta simulando.,tekkini'na nu'chi'ñi. imu'su'palli.,DES,retrotraduccion
141,Está fingiendo comer.,Ha simulado comer.,inllipu'lli weran,DES,retrotraduccion
142,¡Aquí estamos!,¡Aquí tenemos!,¡asek a'ñapalekwa'!,DES,retrotraduccion
143,Aquí estamos.,Lo tenemos.,a'ñapallidek,DES,retrotraduccion
144,Soy cocinero.,Soy cocinera.,kalu'tutek' nuka'ka,DES,retrotraduccion
145,Estoy jodiendo.,Voy de puta en el aire con un niño joven.,wa'danpi ñapalek ala'sa' wa'danlek.,DES,retrotraduccion
146,Estoy leseando.,Estoy leyendo.,lunpalek,DES,retrotraduccion
147,Lo compré.,Los compré.,mapa'lek,DES,retrotraduccion
149,Puedo compartir.,Sé compartir.,ñinchitapalek nanpiak,DES,retrotraduccion
150,Confesé.,"Y me lo dije cuando confesé"".",tantulek ya'nakusu'.,DES,retrotraduccion
151,Como pan.,El pan,tanta',DES,retrotraduccion
152,Como fruta.,Las frutas.,wayunenlusa',DES,retrotraduccion
154,Te encontré.,Te he encontrado.,kananek,DES,retrotraduccion
155,Me enfadé.,Me Enojé.,yulek,DES,retrotraduccion
156,Traigo noticias.,Tengo noticias.,kulliker'wantulek,DES,retrotraduccion
159,Te oí.,Te escuché.,lauk'lek,DES,retrotraduccion
160,Los conozco.,Yo las conozco.,kua luwer'chapalek,DES,retrotraduccion
162,La amaba.,La quería.,luwantuwinek,DES,retrotraduccion
163,Lo extrañaba.,Le extrañé .,lu'wanek,DES,retrotraduccion
166,Leo labios.,Leo los labios.,lunpalek la'la'lusa',DES,retrotraduccion
167,Vendo autos.,- Trato los autos.,- luwantulek wa'danlusa',DES,retrotraduccion
170,Quiero este.,Yo quiero este.,kua luwantulek asu',DES,retrotraduccion
171,Estaba despierto.,Me tenía despierta,ñapawinek,DES,retrotraduccion
175,Estaba cansado.,¡Estaba cansado!,¡yusu' ñapawinek!,DES,retrotraduccion
177,Soy finlandés.,Soy de Finlandia.,finlandes nuka'ka,DES,retrotraduccion
178,Soy turco.,Tengo nacionalidad takis.,la'la'sa' takis ñapalek,DES,retrotraduccion
179,Soy turca.,Soy turco.,turku nuka'ka,DES,retrotraduccion
180,Soy panadero.,Yo hago panadería.,kua panwalatulek,DES,retrotraduccion
181,Soy mujer.,Soy mujer esta noche. Es muy fácil...,ku'aper nuka'ka. muy iker'i...,DES,retrotraduccion
182,Tengo curiosidad.,Necesito saber en otro momento donde la comida...,yañinchitulek nerpi'la ma'pu'si'pa' ka'a'ka...,DES,retrotraduccion
183,Estoy bailando.,Yo danza.,kua lansa'lek,DES,retrotraduccion
184,Estoy comprometida.,Estoy comprometido.,ñapalek saka'tusu',DES,retrotraduccion
186,Estoy ayunando.,- Estoy ayunando.,- weranpalek,DES,retrotraduccion
187,Estoy saludable.,Soy saludable,mudinpu' nuka'ka,DES,retrotraduccion
191,Nos engañaste.,Nos engañaste. ¿Por qué crees que nos engañó?,tumu'tulundek. ¿ma'ki'na itulli tumu'tulundek?,DES,retrotraduccion
192,Puedes entrar.,Pasa.,enka'ker',DES,retrotraduccion
193,Puedes decírnoslo.,Ustedes nos dicen.,kenmama' itulama'kudek,DES,retrotraduccion
194,Pareces triste.,- Está triste-,- we'inutusu' ñapalli,DES,retrotraduccion
195,Deberías descansar.,Deberías descansar .,neria'masu' ñapalli,DES,retrotraduccion
196,Deberían quedarse.,Deberías quedarte.,llia'masu' ñapalli,DES,retrotraduccion
197,Tú dormías.,Has dormido.,wichi'la,DES,retrotraduccion
198,Escaparon todos.,Pero huyeron todos.,iñer' chi'lek'llina',DES,retrotraduccion
199,Odia correr.,Él odia huir.,nana luyuñi teka'su',DES,retrotraduccion
200,Bravo!,Bueno. ¡Bravo!,¡mupalli. ¡mupalli!,EMO,retrotraduccion
201,Lo siento.,"Disculpa. Pero yo también, tu. ¡lo siento!","ta'ituli'nu. kua'nta'ku, kenma. ¡ta'ituli'nu!",EMO,retrotraduccion
202,"Ay, no!","oh, no!",¡ma'sha!,EMO,retrotraduccion
203,Me alegra.,Me alegro.,musu' ñapalek,EMO,retrotraduccion
204,"Ay, que tristeza!","Ah, qué triste.","ah, embu'ni we'inutusu'",EMO,retrotraduccion
205,Me da pena.,Eso me duele.,nana ikerlli,EMO,retrotraduccion
206,Como duele!,¡Cuánto duele!,¡embu'ni ikerlli!,EMO,retrotraduccion
207,Cuanto me alegra!,¡Qué alegría!,¡embu'ni sakeksu'!,EMO,retrotraduccion
208,Me entristece.,Es de los más tristes.,a'mapu'su' ñapalli.,EMO,retrotraduccion
209,Que lastima!,¡Es una pena!,¡mupalli nuka'a!,EMO,retrotraduccion
210,"Ay, que susto!","Oh, qué susto!",¡enpu'ni iker'ipa'!,EMO,retrotraduccion
211,Me da gusto.,me alegro también del tema,sakekunta' sakeksu',EMO,retrotraduccion
212,Que humillante!,"¡Cuánto cuesta, amor!","¡enpu'ni pa'tulli, yuyupa!",EMO,retrotraduccion
213,Cuanto lo extraño!,Le echo tanto de menos!,¡lu'wanpalek a'pinta'!,EMO,retrotraduccion
214,"Ay, que dolor!",Â¡CÃ¡nto!,¡nu'ter'!,EMO,retrotraduccion
215,Me fascina.,Así puedo pasar mi día. Me fascina.,nu'su' kua a'palek uklek. a'pinta'lek.,EMO,retrotraduccion
216,Que suerte!,¡¿Qué suerte? !!,¿enpu'ni u'chimu?!!,EMO,retrotraduccion
217,Como me alegra!,"¡Está buena...que contento que me haya puesto, qué gozo...! Por desgracia!","¡u'chimu...enpu'ni usui'nek, ¡enpu'ni sakek! ¡a'mapu'ni!",EMO,retrotraduccion
218,"Ay, pobrecito!",¡Mala! La pobre.,¡u'chimu! u'chimu!,EMO,retrotraduccion
219,Me da miedo.,Me asusta.,imanantusu',EMO,retrotraduccion
220,Que divertido!,¡Qué gracia!,¡embu'ni musu'pa'!,EMO,retrotraduccion
221,Cuanto me duele!,¡Les duele demasiado!,¡a'pinta' ikerlli!,EMO,retrotraduccion
222,"Ay, que feo!","¡Oh, eso es feo!",¡ma'sha u'chimu!,EMO,retrotraduccion
224,Que horror!,¡Vaya horror! ! Sí.,¡enpu'ni iker'ker'!,EMO,retrotraduccion
225,Como me entristece!,¡Qué tristeza que es!,¡embu'ni we'inutusu' nuka'a!,EMO,retrotraduccion
226,"Ay, que calor!",- Esto esta bueno,- asu' u'chimu,EMO,retrotraduccion
228,Que alegria!,¡ Qué alegrión!,¡embu'ni sakeksu'!,EMO,retrotraduccion
229,Cuanto me preocupa!,- ¡Cuánto más me preocupo! ¡Claro que sí!,- ¡enpu'ni a'pinta' luwektulek! ¡a'pinta' a'pinta'!,EMO,retrotraduccion
230,"Ay, que frio!","- Ay, eso es frío!","- ¡ma'sha, sanek'apalli!",EMO,retrotraduccion
231,Me incomoda.,No estoy cómoda.,ñapalek iker'pi'nek,EMO,retrotraduccion
232,Que orgullo!,¡Qué orgullo!,¡enpu'ni iker'ipa'!,EMO,retrotraduccion
233,Como me asusta!,¡Parece que me asusta! Ya tengo uno.,¡a'chimuyusu' lli'apalek! ipa' ala'sa' ñapalek.,EMO,retrotraduccion
234,"Ay, que rabia!","- ¡Oh, qué ira!",- ¡a'cha pilli'ipa'!,EMO,retrotraduccion
235,Me avergüenza.,Es algo embarazoso.,enpu'ni musu' nuka'a,EMO,retrotraduccion
236,Que bonita chacra!,¡Qué chacra tan bueno!,¡enpu'ni u'chimusha!,EMO,retrotraduccion
237,Cuanto extrano al abuelo!,¡Estoy extrañando tanto al abuelo!,¡i'na luwanpalek papinku!,EMO,retrotraduccion
238,"Ay, que pena!",Qué malo!,¡enpu'ni iker'ipa'!,EMO,retrotraduccion
239,Me angustia.,"Oh, Me aflige.","Oh, ñapalek.",EMO,retrotraduccion
240,Que rico!,Está bien!,mupalli,EMO,retrotraduccion
241,Como me duele el corazon!,¡Cómo me duele el corazón!,¡enpu'ni iker'palek!,EMO,retrotraduccion
242,"Ay, que bonito!",¡Qué bien!,¡enpu'ni musu'pa'!,EMO,retrotraduccion
243,Me desespera.,- Estoy desesperada.,- ñapalek saka'tusu',EMO,retrotraduccion
244,Cuanto me alegra verte!,Me alegro tanto de verte.,musu' ñapalek lli'apalek.,EMO,retrotraduccion
245,"Ay, que vergüenza!",¡Ah! ¡Qué pena !,¡enpu'ni! ¡enpu'ni we'ipa'!,EMO,retrotraduccion
246,Me conmueve.,- Me conmueve.,- ñapalek ñapalek,EMO,retrotraduccion
247,Como me alegra la chicha!,Cuánto me alegro de que la niña...,empu'ni daker'ku wila kuaper...,EMO,retrotraduccion
248,"Ay, que pereza!",¡Qué gallinero!,¡enpu'ni muker'ipa'!,EMO,retrotraduccion
249,Me preocupa.,Estoy preocupado.,worried'su' ñapalek,EMO,retrotraduccion
250,Que interesante!,¡Qué interesante!,¡enpu'ni musu'pa'!,EMO,retrotraduccion
251,Cuanto me duele la cabeza!,"- ¡Cuánto duele mi cabeza ! - De acuerdo, lo sabía.",- ¡empu'ni ñapalek mutu'wek!,EMO,retrotraduccion
252,"Ay, que rico!","- Oh, eso es bueno.","- Oh, u'chimu nuka'a",EMO,retrotraduccion
253,Me fastidia.,Me preocupa.,luwantulek,EMO,retrotraduccion
254,Que aburrimiento!,¡Qué aburrido!,¡enpu'ni u'chimu!,EMO,retrotraduccion
255,Como me alegra el pueblo!,Cuán feliz estoy junto a esta chica !,¡embu'ni musu' ñapalek asu' wila kuaperlek!,EMO,retrotraduccion
256,"Ay, que lindo!",¿Estás bromeando? Es mona.,¿si'lentapala? nuker' nuka'a.,EMO,retrotraduccion
257,Me da asco.,Me asco.,ñapalek,EMO,retrotraduccion
258,Cuanto me alegra el maiz!,¡Me alegra mucho el maíz!,¡enpu'ni sakeksu' ma'nen!,EMO,retrotraduccion
259,"Ay, que hambre!",Me das hambre!,uki'lek!,EMO,retrotraduccion
260,Me entusiasma.,Estoy conmocionado.,ñapalek imanantusu',EMO,retrotraduccion
262,Como me alegra la cosecha!,¡ Qué feliz estoy de cosechar!,¡enpu'ni musu' ka'apalek!,EMO,retrotraduccion
263,"Ay, que torpeza!",Qué poco personal.,embu'ni enpu'ni enpu'ni a'ka'pi'pa',EMO,retrotraduccion
264,Me irrita.,Yo sé que eso me irrita.,kua ñinchitulek nana yulli,EMO,retrotraduccion
265,Cuanto extrano la chacra!,¡Cuánto pierdo el chacra!,¡enpu'ni wer'palek nana menmik!,EMO,retrotraduccion
266,"Ay, que tristeza tan grande!",¡Vaya gran tristeza!,¡enpu'ni we'inutusu'!,EMO,retrotraduccion
267,Me inquieta.,Estoy preocupada.,worried ñapalek,EMO,retrotraduccion
268,Como me alegra la yuca!,¡ Cuánto me alegró ver esta mandioca!,¡embu'ni a'musu' lli'amu asu' panwala!,EMO,retrotraduccion
269,"Ay, que injusto!",¡Importante!,¡mupalli!,EMO,retrotraduccion
270,Me duele el alma.,Mi alma duele.,ne'inuta'wek ikerlli,EMO,retrotraduccion
271,Cuanto extrano a mi madre!,¡Cuánto echo de menos a mi madre!,¡enpu'ni luwanpalek awawek!,EMO,retrotraduccion
272,"Ay, que belleza!",¡Magnifica!,¡u'chimuinchipa'!,EMO,retrotraduccion
273,Me conmueve la abuelita.,Estoy tocado por mi abuela.,amishawek lubetchapalek.,EMO,retrotraduccion
274,Como me entristece la muerte!,¡Me entristece la muerte!,¡a'musu' ui'nek wa'tan!,EMO,retrotraduccion
275,"Ay, que maravilla!","Oh, eso es genial!",¡musu' nuka'a!,EMO,retrotraduccion
276,Me alegra el amanecer.,Estoy feliz de ser tan amanecido,kusinchitulek musu' uklli,EMO,retrotraduccion
277,Cuanto me alegra el shiwilu!,Se alegra mucho con él.,musu' sakeksu' ñapalli nanalek,EMO,retrotraduccion
278,"Ay, que confusion!",¡Qué confusión!,¡embu'ni luwer'chi'ñi!,EMO,retrotraduccion
279,¡Gracias!,Gracias.,yuspeinet'echun,EMO,retrotraduccion
280,Gracias.,Gracias,yuspeinetchun,EMO,retrotraduccion
282,¡Qué divertido!,¡Qué gracioso!,¡embu'ni musu'pa'!,EMO,retrotraduccion
283,¡Qué horror!,¡Que mierda!,¡embu'ni ñinchipa'!,EMO,retrotraduccion
284,¡Qué raro!,Eso es raro.,nana nuka'a,EMO,retrotraduccion
285,¡Qué aburrimiento!,¡Enfadan!,¡pilli'ku'!,EMO,retrotraduccion
286,¡Qué bonito!,¡Es lindo!,¡u'chimusha nuka'a!,EMO,retrotraduccion
287,¡Qué curioso!,"Gracias, chicos.",yuspeinet'echun wilalusa',EMO,retrotraduccion
288,Qué raro.,¡Qué raro es verlo muy extraño!,¡enpu'ni lli'inutapa' lli'a'ni enpu'ni lli'inutapa'!,EMO,retrotraduccion
290,¡Qué pesado!,¡Esto pesa!,¡asu' wa'danpalli!,EMO,retrotraduccion
291,¡Qué horrible!,¡Qué terrible!,¡enpu'ni iker'ipa'!,EMO,retrotraduccion
292,¡Qué romántico!,¡Que románticos! !,¡enpu'ni u'chimusha!,EMO,retrotraduccion
294,¡Qué listo!,Eso es inteligente!,¡mapu' nuka'a!,EMO,retrotraduccion
295,¡Qué fiasco!,"Qué fasco, fiasco en vez de comerse a su hijo Demonios.","a'mapu'pi'pa', a'mapu'pi'la'pi'la, asu' demonios wilanen.",EMO,retrotraduccion
297,Qué malo.,"Oh, qué mal.",¡embu'ni lli'inupa'!,EMO,retrotraduccion
299,¡Qué interesante!,Qué interesante!,¡enpu'ni musu'pa'!,EMO,retrotraduccion
300,Nadie respondió.,Nadie respondió a eso.,ñiden na'pi'ñi nana,NEG,retrotraduccion
301,¡Imposible!,Imposible.,ñinchichi'nek,NEG,retrotraduccion
302,Me niego.,No tengo razón.,ma'pu'su' ñapalek,NEG,retrotraduccion
304,No sé.,) No lo sé.,ñinchichi'nek,NEG,retrotraduccion
305,No estudio.,Yo no estudio.,kua ku'la ñinchitapi'nek,NEG,retrotraduccion
306,Nadie llamó.,Ninguno los llamó.,ñiden peklu'chi'ñi.,NEG,retrotraduccion
308,No pico.,Tengo buena relación esquivo!,¡a'chimu ñapalek u'chimu!,NEG,retrotraduccion
309,No sigo.,No te sigo.,ku'la tupi'pi'nek,NEG,retrotraduccion
311,Ni idea.,No lo sé.,ñinchichi'nek,NEG,retrotraduccion
312,Nadie gritó.,Nadie me ha gritado.,ñiden lamapu'ñi.,NEG,retrotraduccion
313,Nadie escucha.,Nadie me escucha,ñiden lauk'i'ñun,NEG,retrotraduccion
317,Jamás.,Nunca.,ku'la,NEG,retrotraduccion
318,Sin agua.,Nada al Agua.,ma'pu' dek'kek,NEG,retrotraduccion
319,Sin yuca.,Nada de yuca.,ku'la ker'pi'ñi,NEG,retrotraduccion
320,Sin fuego.,No hay fuego.,ku'la pen'i'ñi,NEG,retrotraduccion
321,Sin leña.,No hay leña.,ku'la pen'api'ñi,NEG,retrotraduccion
322,Sin chicha.,"No, no, , no, no, no, no, no, no o no.","ma'sha, ma'sha, ma'sha, ma'sha, ma'sha, ma'sha, ma'sha.",NEG,retrotraduccion
324,Sin camino.,Ni de broma.,si'lentapi'nek,NEG,retrotraduccion
325,Sin peces.,No pescados.,samer' ku'la,NEG,retrotraduccion
326,Sin comida.,No se hace de comer.,ku'la ka'api'ñi,NEG,retrotraduccion
327,Sin abuelos.,Nada de abuelos.,ñi papinkuku'lusa'.,NEG,retrotraduccion
328,Me falta agua.,Me falta tiempo. Sólo tengo agua.,enpu'nipa' luwantulek. dekpa'lusa' ñapalek.,NEG,retrotraduccion
329,Me falta leña.,¡Me falta leña!,¡luwanwanwan luwantulek!,NEG,retrotraduccion
331,Me falta yuca.,Falta iuchka.,iuchka a'ñapalli,NEG,retrotraduccion
332,Nadie llega.,No va a venir nadie.,ñiden uk'i'ñi,NEG,retrotraduccion
333,Nadie sabe.,Nadie lo sabe.,ñiden ñinchitapi'ñi,NEG,retrotraduccion
334,Nadie viene.,Nadie me va a gustariar.,ñiden iyui'nek,NEG,retrotraduccion
336,Nadie siembra.,Nadie pone cer reproducción.,ñiden u'chi'ñi wiwer'kasu'.,NEG,retrotraduccion
337,Nadie habla.,"Dios mío, que nadie hable.","mawekkek, ñiden lu'un'i'nek.",NEG,retrotraduccion
338,Nadie muele.,Que nadie se ría.,ñiden yamer'i'nek,NEG,retrotraduccion
339,Nadie tuesta.,- A ninguno le gusta.,- ñiden iyui'ñi.,NEG,retrotraduccion
340,Nadie enseña.,Nadie enjuaga.,ñiden u'chi'ñi,NEG,retrotraduccion
342,Nunca llega.,Nunca viene.,ku'la uk'i'ñi,NEG,retrotraduccion
343,Nunca siembra.,Pero él nunca siembra.,nana ku'la tera'pi'ñi,NEG,retrotraduccion
344,Nunca amanece.,Nunca llega a la palmera.,ñi enpi' ektu'pi'ñi tanak.,NEG,retrotraduccion
345,Jamás voy.,Nunca voy a.,ñinpi' pa'echek,NEG,retrotraduccion
346,Nunca cocinamos.,Nosotros nunca cocinamos.,kuda ku'la kalu'pi'ñidek,NEG,retrotraduccion
347,Jamás enseña.,No es nunca el que enseña.,ñi ñi ñi ñi a'lek'api'ñi.,NEG,retrotraduccion
348,Jamás mastica.,Nunca mastiques.,ñinpi' masa'pi'nek,NEG,retrotraduccion
349,Nunca toma chicha.,Nunca bebe chicha.,ku'la u'chi'ñi u'cha,NEG,retrotraduccion
350,Ya no hay.,"""¡No hay más noticias de nadie!",¡a'pinta' ñinchichi'ñi ñinchichi'na!,NEG,retrotraduccion
351,Ya se fue.,Se han ido.,pa'llina',NEG,retrotraduccion
