id,espanol,shiwilu,intencion,fuente
AFI_NEW_043,"Sí, listo.",ajá.  insek'diperpi,AFI,api_generada
AFI_NEW_044,"Sí, seguro.",ajá  tekinchi,AFI,api_generada
AFI_NEW_045,"Sí, verdad.",ajá  tekinchi,AFI,api_generada
AFI_NEW_046,"Sí, cierto.",ajá   tekinchi,AFI,api_generada
AFI_NEW_047,"Sí, bien.",ajá  mulli,AFI,api_generada
AFI_NEW_048,"Sí, obvio.",ajá  tumu'pi'nek,AFI,api_generada
AFI_NEW_049,"Sí, dale.",ajá  enka'ker',AFI,api_generada
AFI_NEW_050,"Sí, efectivamente.",ajá   nu'su'  nuka'a,AFI,api_generada
AFI_NEW_051,"Sí, confirmo.",ajá  tumu'tapi'ñenma',AFI,api_generada
AFI_NEW_052,"Sí, acepto.",ajá  luwante chek,AFI,api_generada
AFI_NEW_053,"Sí, ya entendí.",ajá. ipa'  lachek'lek,AFI,api_generada
AFI_NEW_054,"Sí, así nomás.",ajá   u'la'su',AFI,api_generada
AFI_NEW_055,"Sí, todo bien.",ajá  iñer'  musu',AFI,api_generada
AFI_NEW_056,"Sí, con gusto.",ajá. Sakeklek,AFI,api_generada
AFI_NEW_057,"Sí, ya sé.",aja  ipa'  ñinchitulek,AFI,api_generada
AFI_NEW_058,"Sí, muy bien.",ajá  mushallin,AFI,api_generada
AFI_NEW_059,"Sí, bien dicho.",ajá   musu'  tulli,AFI,api_generada
AFI_NEW_060,"Sí, bien hecho.",ajá  musu'  nu'pi,AFI,api_generada
AFI_NEW_061,"Sí, eso mismo.",ajá. nanapi'la,AFI,api_generada
AFI_NEW_062,"Sí, eso es.",ajá  nana  nuka'a,AFI,api_generada
AFI_NEW_063,"Sí, ya está.",ajá  ípa'  ñapalli,AFI,api_generada
AFI_NEW_064,Es cierto.,"nuka""a  tekinchi",AFI,api_generada
AFI_NEW_065,Es exacto.,nañisu'  nuka'a,AFI,api_generada
AFI_NEW_066,Así lo haré.,nu'su'  nu'tecek,AFI,api_generada
AFI_NEW_067,Así fue.,nu'su'  ñiwiñi,AFI,api_generada
AFI_NEW_068,Así es nomás.,nu'la'su',AFI,api_generada
AFI_NEW_069,Ya lo sé.,ipa'  ñinchitulek,AFI,api_generada
AFI_NEW_070,Ya lo entendí.,ipa'  lachek'lek,AFI,api_generada
AFI_NEW_071,Ya lo hice.,ipa'  nu'tulek,AFI,api_generada
AFI_NEW_072,Ya terminé.,ipa'  a'ta'wantulek,AFI,api_generada
AFI_NEW_073,Ya cociné.,ipa'  akusutulek,AFI,api_generada
AFI_NEW_074,Ya molí.,ipa'  pek'sanek,AFI,api_generada
AFI_NEW_075,Ya tosté.,ipa'  inyalek,AFI,api_generada
AFI_NEW_076,Ya hervió.,ipa'  ukluka'lli,AFI,api_generada
AFI_NEW_077,La yuca está.,ker'  ñapalli,AFI,api_generada
AFI_NEW_078,La chicha está.,uklupidek  ñapalli,AFI,api_generada
AFI_NEW_079,La leña está.,diuk  ñapalli,AFI,api_generada
AFI_NEW_080,El agua está.,dek  ñapalli,AFI,api_generada
AFI_NEW_081,La olla está.,ukta  ñapalli,AFI,api_generada
AFI_NEW_082,La comida está.,wueran  ñapalli,AFI,api_generada
AFI_NEW_083,El fuego está.,pen  ñapalli,AFI,api_generada
AFI_NEW_084,La chacra está.,menmin  ñapalli,AFI,api_generada
AFI_NEW_085,El maíz está.,chiter'  ñapalli,AFI,api_generada
AFI_NEW_086,Todo listo.,iñer' insek'diperpi,AFI,api_generada
AFI_NEW_087,Quedamos así.,llia'ter  nu'su',AFI,api_generada
AFI_NEW_088,Dicho y hecho.,tulek  nu'tulek,AFI,api_generada
AFI_NEW_089,Como dijiste.,ma'pu'su'  tula,AFI,api_generada
AFI_NEW_090,Tal cual.,nu'su'  nuka'a,AFI,api_generada
AFI_NEW_091,Justo así.,nañilli  nu'su',AFI,api_generada
FL2_0084,De acuerdo.,MUETCHUN,AFI,flashcards
FL2_0099,Está bien.,MUPALLI,AFI,flashcards
FL2_0320,Sé correr.,ÑINCHITAPALEK TEKA'AK',AFI,flashcards
FL2_0519,Sé leer.,ÑINCHITAPALEK LUN'AK,AFI,flashcards
FL2_0521,Sé nadar.,ÑINCHITAPALEK IDUN'AK,AFI,flashcards
FL2_0588,Está listo.,INSEK'DIPERPI ÑAPALLI,AFI,flashcards
FL2_1128,Está perfecto.,MUPALLI,AFI,flashcards
FL2_1835,Es correcto.,MULLINCHA',AFI,flashcards
FL2_1893,"Sí, claro.",TEKINCHI,AFI,flashcards
FL2_0008,¡Incendio!,¡UKEÑAN!,DES,flashcards
FL2_0009,¡Ayuda!,¡KATU'PA'!,DES,flashcards
FL2_0010,¡Socorro! ¡Auxilio!,¡KATU'PA'! ¡KATU'PA'!,DES,flashcards
FL2_0011,¡Auxilio!,¡KATU'PA'!,DES,flashcards
FL2_0016,¡He ganado!,¡KANA'TULEK!,DES,flashcards
FL2_0017,"¡Oh, no! (masculino)",¡SHAW!,DES,flashcards
FL2_0018,"¡Oh, no! (femenino)",¡ASHA!,DES,flashcards
FL2_0021,¡Al ataque!,¡PAKU' LLIPU'TUDEK'KUNKU'!,DES,flashcards
FL2_0024,¡Tengo!,¡A'ÑAPALEK!,DES,flashcards
FL2_0026,Él corrió.,NANA TEKAKLLI,DES,flashcards
FL2_0029,Me caí.,ANU'LEK,DES,flashcards
FL2_0030,Salí.,YUNSU'LEK,DES,flashcards
FL2_0032,Perdí. (opuesto de ganar),WER'LLIEK,DES,flashcards
FL2_0660,Tom saltó.,TOM INDEK'LLI,DES,flashcards
FL2_0676,Tom morirá.,TOM CHIMINCHU,DES,flashcards
FL2_0677,Tom pagará.,TOM PANWILEK'TECHU,DES,flashcards
FL2_0683,Somos hombres.,ENMU'PINEN NUKA'KUDEK,DES,flashcards
FL2_0684,Podemos ganar.,YENNITULEKWA' KANA'TAK,DES,flashcards
FL2_0685,Nos divertimos.,SAKEKLEKWA',DES,flashcards
FL2_0686,Nos reímos.,YAMERLEK'WA',DES,flashcards
FL2_0687,Nos gusta.,IYA'TULEK'WA',DES,flashcards
FL2_0688,Lo hicimos.,NU'TULEK'WA',DES,flashcards
FL2_0689,Debemos irnos.,PA'A'KAWA'SU' ÑAPALLI,DES,flashcards
FL2_0690,Lo queremos.,TANTENLEK'WA',DES,flashcards
FL2_0691,Fracasaremos.,TEKA'PER'ATERWA',DES,flashcards
FL2_0697,Estamos ocupados.,A'ÑAPALLIDEK DUDIMPU' NU'TA'KAWA'SU',DES,flashcards
FL2_0698,Terminamos.,A'TA'WANTULLIDEK,DES,flashcards
FL2_0699,Estamos acá.,ASEK ÑAPALLIDEK,DES,flashcards
FL2_0700,Estamos perdidos.,WER'SU' ÑAPALLIDEK,DES,flashcards
FL2_0701,Somos pobres.,KULLIKER'WI'ÑIDEK,DES,flashcards
FL2_0702,Estamos hartos.,PERLLI'LLIDEK,DES,flashcards
FL2_0703,Somos débiles.,SAPUTEK NUKA'KUDEK,DES,flashcards
FL2_0737,Cuenta conmigo.,KUA KATU'PEKCHEN,DES,flashcards
FL2_0748,Termine esto.,A'TA'WANTER ASU',DES,flashcards
FL2_0750,Terminen esto.,A'TA'WANTUKU' ASU',DES,flashcards
FL2_0755,Él envejeció.,NANA TASERPITULLI,DES,flashcards
FL2_0756,¡Ha venido!,¡WEK'LLI!,DES,flashcards
FL2_0757,Tiene vino.,VINU' A'ÑAPALLI,DES,flashcards
FL2_0758,Es feliz.,MUSU' NUKA'A,DES,flashcards
FL2_0759,Le gustó.,IYATULLI,DES,flashcards
FL2_0760,Está fingiendo.,INTEK APALLI,DES,flashcards
FL2_0761,Está fingiendo comer.,INTEK WERANPALLI,DES,flashcards
FL2_0762,¡Aquí estamos!,¡ASEK ÑAPALLIDEK!,DES,flashcards
FL2_0763,Aquí estamos.,ASEK ÑAPALLIDEK,DES,flashcards
FL2_0766,Soy cocinero.,KALU'TUTEK' NUKA'KA,DES,flashcards
FL2_0767,Estoy jodiendo.,A'PERCHAPALEK,DES,flashcards
FL2_0768,Estoy leseando.,SI'LENTAPALEK,DES,flashcards
FL2_0769,Lo compré.,MAPA'LEK,DES,flashcards
FL2_0770,Puedo hacerlo.,YENNITULEK NU'TAK,DES,flashcards
FL2_0771,Puedo compartir.,YENNITULEK A'NAÑIAK,DES,flashcards
FL2_0772,Confesé.,LUNNEK,DES,flashcards
FL2_0774,Como pan.,KA'APALEK TANTA',DES,flashcards
FL2_0775,Como fruta.,KA'APALEK WAYUPI,DES,flashcards
FL2_0776,Tenía frío.,SANEK'WANTUWINEK,DES,flashcards
FL2_0777,Te encontré.,KAPER'LLIEN,DES,flashcards
FL2_0778,Me enfadé.,YULEK,DES,flashcards
FL2_0779,Traigo noticias.,KERA'PILELLEK LA'LA'LUSA',DES,flashcards
FL2_0780,Tengo tiempo.,MANENNU'TAPI'NEK,DES,flashcards
FL2_0781,Tengo vino.,VINU' A'ÑAPALEK,DES,flashcards
FL2_0782,Te oí.,LAUK'LLIEN,DES,flashcards
FL2_0783,Los conozco.,LUWER'CHAPADEKLEK,DES,flashcards
FL2_0785,Vivo aquí.,ASEK NANPIPALEK,DES,flashcards
FL2_0786,La amaba.,TANTENWINEK,DES,flashcards
FL2_0787,Lo extrañaba.,LU'WANWINEK,DES,flashcards
FL2_0788,Debo esconderme.,INSEK'KITA'KASU'ÑAPALLI,DES,flashcards
FL2_0791,Los necesito.,LUWANTUDEK'LEK,DES,flashcards
FL2_0794,Leo labios.,ÑINCHITAPALEK MA'TAPALLINPA',DES,flashcards
FL2_0795,Vendo autos.,UKU'LATAPALEK WA'NATEKA'ASU',DES,flashcards
FL2_0796,Huelo gas.,LANERAPALEK GAS,DES,flashcards
FL2_0797,Quiero más.,A'PINTA' LUWANTULEK,DES,flashcards
FL2_0799,Quiero este.,ASU' LUWANTULEK,DES,flashcards
FL2_0800,Estaba despierto.,ÑAPAWINEK NANPILADASU',DES,flashcards
FL2_0801,Estaba mareado.,ÑAPAWINEK LUPERSU',DES,flashcards
FL2_0802,Me despidieron.,USU'LLINER'KU,DES,flashcards
FL2_0803,Estaba desnudo.,INANPILATEK ÑAPAWINEK,DES,flashcards
FL2_0804,Estaba cansado.,SAKA'TUSU' ÑAPAWINEK,DES,flashcards
FL2_0805,Estaba equivocado.,PEKTUNSU' ÑAPAWINEK,DES,flashcards
FL2_0809,Soy finlandés.,FINLANDIS NUKA'KA,DES,flashcards
FL2_0810,Soy turco.,TURKU NUKA'KA,DES,flashcards
FL2_0811,Soy turca.,TURKA NUKA'KA,DES,flashcards
FL2_0812,Soy panadero.,TANTA' NU'TUTEK NUKA'KA,DES,flashcards
FL2_0813,Soy mujer.,KU'APER NUKA'KA,DES,flashcards
FL2_0814,Tengo curiosidad.,ÑINCHIDINUPALEK,DES,flashcards
FL2_0815,Estoy bailando.,LANSA'PALEK,DES,flashcards
FL2_0816,Estoy comprometida.,ÑAPALEK ALA'SA' ENMU'PINENLEK,DES,flashcards
FL2_0817,Estoy emocionado.,ÑAPALEK SAKEK'SU',DES,flashcards
FL2_0818,Estoy ayunando.,WERANPI'NEK,DES,flashcards
FL2_0819,Estoy saludable.,ÑAPALEK MUDINUSU',DES,flashcards
FL2_0820,Me voy.,PA'ECHEK,DES,flashcards
FL2_2173,Me traicionaste.,WA'DANPILAPILUN,DES,flashcards
FL2_2174,Nos traicionaste.,WA'DANPILAPILUNDEK,DES,flashcards
FL2_2175,Nos engañaste.,TUMU'TULUNDEK,DES,flashcards
FL2_2176,Puedes entrar.,YENNITULADA'A'MAK,DES,flashcards
FL2_2177,Puedes decírnoslo.,YENNITULA WINTA'MUDEK,DES,flashcards
FL2_2178,Pareces triste.,LLI'TULA WE'INUTUSU',DES,flashcards
FL2_2179,Deberías descansar.,NERIA'MASU' ÑAPALLI,DES,flashcards
FL2_2180,Deberían quedarse.,LLIA'A'MAMASU' ÑAPALLI,DES,flashcards
FL2_2181,Tú dormías.,KENMA WICHI'WINA',DES,flashcards
FL2_2206,Escaparon todos.,IÑER' CHIYEKLLINA',DES,flashcards
FL2_2211,Odia correr.,LUYU'LLI TEKA'AK,DES,flashcards
EMO_NEW_001,Bravo!,inllipu'itk'later',EMO,api_generada
EMO_NEW_002,Lo siento.,lutantenñen,EMO,api_generada
EMO_NEW_003,"Ay, no!",a'pinchi,EMO,api_generada
EMO_NEW_004,Me alegra.,a'sakek'llu,EMO,api_generada
EMO_NEW_005,"Ay, que tristeza!",enpu'ni  wueinuipa',EMO,api_generada
EMO_NEW_006,Me da pena.,enka'lliu  wue'inu,EMO,api_generada
EMO_NEW_007,Como duele!,ma'pu'su'  ikerlli,EMO,api_generada
EMO_NEW_008,Cuanto me alegra!,enpu'nipa'  a'sakeklliu,EMO,api_generada
EMO_NEW_009,Me entristece.,a'wue'inutulliu,EMO,api_generada
EMO_NEW_010,Que lastima!,enpu'  wue'inuipa',EMO,api_generada
EMO_NEW_011,"Ay, que susto!",enpu'nipa' tekualek,EMO,api_generada
EMO_NEW_012,Me da gusto.,tantenñen,EMO,api_generada
EMO_NEW_013,Que humillante!,enpu'ni  dakuti'pa',EMO,api_generada
EMO_NEW_014,Cuanto lo extraño!,enpu'nipa'  lu'wanek,EMO,api_generada
EMO_NEW_015,"Ay, que dolor!","enpu""nipa'  ikerlli",EMO,api_generada
EMO_NEW_016,Me fascina.,A'sakek'kankañu,EMO,api_generada
EMO_NEW_017,Que suerte!,kananwan,EMO,api_generada
EMO_NEW_018,Como me alegra!,sakek'lek,EMO,api_generada
EMO_NEW_019,"Ay, pobrecito!",wawiin,EMO,api_generada
EMO_NEW_020,Me da miedo.,"A""tekualliun",EMO,api_generada
EMO_NEW_021,Que divertido!,wa'danpitek,EMO,api_generada
EMO_NEW_022,Cuanto me duele!,"enpu'nipa""  ikerchulek",EMO,api_generada
EMO_NEW_023,"Ay, que feo!",Enpu'ni  aperpipa',EMO,api_generada
EMO_NEW_024,Me emociona.,a'sakek'lliu,EMO,api_generada
EMO_NEW_025,Que horror!,Enpu'ni  aperpipa',EMO,api_generada
EMO_NEW_026,Como me entristece!,a'wue'inutulliu,EMO,api_generada
EMO_NEW_027,"Ay, que calor!","Enpu""ni  ukawanñinpa'",EMO,api_generada
EMO_NEW_028,Me sorprende.,a'manantulliu,EMO,api_generada
EMO_NEW_029,Que alegria!,enpu'ni  sakek'ipa',EMO,api_generada
EMO_NEW_030,Cuanto me preocupa!,"musu'  a'kakanchi""nu",EMO,api_generada
EMO_NEW_031,"Ay, que frio!",nakusu'  sanekwañi,EMO,api_generada
EMO_NEW_032,Me incomoda.,musu'  a'kankanch'ñu,EMO,api_generada
EMO_NEW_033,Que orgullo!,musu' ñapalek,EMO,api_generada
EMO_NEW_034,Como me asusta!,a'imanantulliu,EMO,api_generada
EMO_NEW_035,"Ay, que rabia!",enpu'ni  yuipa',EMO,api_generada
EMO_NEW_036,Me avergüenza.,a'dakuta'lliu,EMO,api_generada
EMO_NEW_037,Que bonita chacra!,enpu'ni  mushipa'  menmin,EMO,api_generada
EMO_NEW_038,Cuanto extrano al abuelo!,lu'Wanek  papinku,EMO,api_generada
EMO_NEW_039,"Ay, que pena!",enpu'ni  wue'inu,EMO,api_generada
EMO_NEW_040,Me angustia.,musu'  a'kankanchi'ñu,EMO,api_generada
EMO_NEW_041,Que rico!,iyalli,EMO,api_generada
EMO_NEW_042,Como me duele el corazon!,enpu'nipa'  ikerchulek  dinlupiuk,EMO,api_generada
EMO_NEW_043,"Ay, que bonito!",enpu'ni mushipa',EMO,api_generada
EMO_NEW_044,Me desespera.,perwa'tentulek,EMO,api_generada
EMO_NEW_045,Cuanto me alegra verte!,enpu'dunlu'ipa'  sakeklek  lli'amun,EMO,api_generada
EMO_NEW_046,"Ay, que vergüenza!",enpu'ni. dakuta'ipa,EMO,api_generada
EMO_NEW_047,Me conmueve.,A'lenmek'lliu,EMO,api_generada
EMO_NEW_048,Como me alegra la chicha!,a'sakeklliu  uklupidek,EMO,api_generada
EMO_NEW_049,"Ay, que pereza!",perlek,EMO,api_generada
EMO_NEW_050,Me preocupa.,musu'  kankanchi'nek,EMO,api_generada
EMO_NEW_051,Que interesante!,yalli'lek  yata'ituli'nek,EMO,api_generada
EMO_NEW_052,Cuanto me duele la cabeza!,nakusu'  ikermutu'lek,EMO,api_generada
EMO_NEW_053,"Ay, que rico!",enpu'ni  iyallinpa',EMO,api_generada
EMO_NEW_054,Me fastidia.,A'perlliu,EMO,api_generada
EMO_NEW_055,Que aburrimiento!,musu'  ñapi'nek,EMO,api_generada
EMO_NEW_056,Como me alegra el pueblo!,A'sakek'lliu  ñinanlu',EMO,api_generada
EMO_NEW_057,"Ay, que lindo!",enpu'ni  mushipa',EMO,api_generada
EMO_NEW_058,Me da asco.,nudu'tulek,EMO,api_generada
EMO_NEW_059,Cuanto me alegra el maiz!,enpu'nipa'  a'sakeklliu  chiter',EMO,api_generada
EMO_NEW_060,"Ay, que hambre!",uki'lalek,EMO,api_generada
EMO_NEW_061,Me entusiasma.,a'nantapilliu,EMO,api_generada
EMO_NEW_062,Que peligro!,tekuala'nawañi,EMO,api_generada
EMO_NEW_063,Como me alegra la cosecha!,a'sakeklliu  sek'ker'cha'kasu',EMO,api_generada
EMO_NEW_064,"Ay, que torpeza!",dakuta'tek,EMO,api_generada
EMO_NEW_065,Me irrita.,a'yulliu,EMO,api_generada
EMO_NEW_066,Cuanto extrano la chacra!,lu'wanek  menminuk,EMO,api_generada
EMO_NEW_067,"Ay, que tristeza tan grande!",wue'inu  a'lliupi,EMO,api_generada
EMO_NEW_068,Me inquieta.,tuyutulliu,EMO,api_generada
EMO_NEW_069,Como me alegra la yuca!,ker'  a'sakeklliu,EMO,api_generada
EMO_NEW_070,"Ay, que injusto!",mukankan'i'ñi,EMO,api_generada
EMO_NEW_071,Me duele el alma.,ikerchulek  wa'dan'uk,EMO,api_generada
EMO_NEW_072,Cuanto extrano a mi madre!,lu'wan'nek  awauk,EMO,api_generada
EMO_NEW_073,"Ay, que belleza!",enpu'ni. mushipa',EMO,api_generada
EMO_NEW_074,Me conmueve la abuelita.,lutanteñek  amisha,EMO,api_generada
EMO_NEW_075,Como me entristece la muerte!,a'wue'inutulliu  chiminllin,EMO,api_generada
EMO_NEW_076,"Ay, que maravilla!",enpu'  mushipa',EMO,api_generada
EMO_NEW_077,Me alegra el amanecer.,a'sakeklliu  uklliapila'su',EMO,api_generada
EMO_NEW_078,Cuanto me alegra el shiwilu!,Enpu'nipa'  a'sakek'lliu  shiwilu,EMO,api_generada
EMO_NEW_079,"Ay, que confusion!",Luwer'chude'i'nek,EMO,api_generada
FL2_0047,¡Gracias!,¡YUSPEINET'ECHUN!,EMO,flashcards
FL2_0048,Gracias.,YUSPEINET'ECHUN,EMO,flashcards
FL2_0169,¡Qué encanto!,¡EMPU'NI MUSHIPA'!,EMO,flashcards
FL2_0274,¡Qué divertido!,¡EMPU'NI WA'DANPINTEK'IPA'!,EMO,flashcards
FL2_0313,¡Qué horror!,¡IMANAN EMPU'NIPA'!,EMO,flashcards
FL2_0314,¡Qué raro!,¡NERPI'LA EMPU'NIPA'!,EMO,flashcards
FL2_0511,¡Qué aburrimiento!,¡MUSU' KANKANCHI'NEK!,EMO,flashcards
FL2_0512,¡Qué bonito!,¡EMBU'NI MUSHIPA'!,EMO,flashcards
FL2_0764,¡Qué curioso!,¡EMPU'NI ÑINCHIDINUSU'TA'!,EMO,flashcards
FL2_0765,Qué raro.,EMPU'NI LLI'INEK,EMO,flashcards
FL2_0784,Me gustan.,IYATUDEKLEK,EMO,flashcards
FL2_1054,¡Qué pesado!,¡ENPU'NI SAKA'DEK'IPA'!,EMO,flashcards
FL2_1055,¡Qué horrible!,¡ENPU'NI APERPIPA'!,EMO,flashcards
FL2_1056,¡Qué romántico!,¡ENPU'NI MUPENCHIPA'!,EMO,flashcards
FL2_1382,¡Qué emocionante!,¡EMBU'NIMUSHIPA'!,EMO,flashcards
FL2_1532,¡Qué listo!,¡DAKUTI'ÑI!,EMO,flashcards
FL2_1598,¡Qué fiasco!,¡ENPU'NI DAKUTA'IPA'!,EMO,flashcards
FL2_1599,¡Qué alivio!,¡ENPU'NI MUI'PA!,EMO,flashcards
FL2_1838,Qué malo.,MUKANKANINPU',EMO,flashcards
FL2_1972,¡Qué humillante!,¡EMPU'NI DAKUTA!,EMO,flashcards
FL2_1973,¡Qué interesante!,¡EMPU'NI LUYAIPA'!,EMO,flashcards
 FL2_2085,Nadie respondió.,ÑIDEN NA'PICHI'ÑI,NEG,flashcards
FL2_0044,¡Imposible!,¡SAKA'DEK!,NEG,flashcards
FL2_0180,Me niego.,LUWANCHI'NEK,NEG,flashcards
FL2_0773,No como.,KA'API'NEK,NEG,flashcards
FL2_1069,No sé.,ÑINCHICHI'NEK,NEG,flashcards
FL2_1398,No estudio.,KU'LA ÑINCHITAPI'NEK,NEG,flashcards
FL2_1516,Nadie llamó.,ÑIDEN PEK'KLU'CHI'ÑI,NEG,flashcards
FL2_1574,Nunca hablamos.,ÑINPI' LUNPI'ÑIDEK,NEG,flashcards
FL2_1710,No pico.,KU'LA EK'KUANPINEK,NEG,flashcards
FL2_1711,No sigo.,KU'LA TUPIAPI'NEK,NEG,flashcards
FL2_1712,No entiendo.,KU'LA LACHEK'I'NEK,NEG,flashcards
FL2_1721,Ni idea.,NINCHICHI'NEK,NEG,flashcards
FL2_1821,Nadie gritó.,ÑIDEN LAMAPUI'ÑI,NEG,flashcards
FL2_1822,Nadie escucha.,ÑIDEN LAUK'TAPI'ÑI,NEG,flashcards
NEG_NEW_001,Nunca.,ñienpi',NEG,api_generada
NEG_NEW_002,Nadie.,ñiden,NEG,api_generada
NEG_NEW_003,Nada.,ñima'nen,NEG,api_generada
NEG_NEW_004,Jamás.,ñienpi'sha,NEG,api_generada
NEG_NEW_005,Sin agua.,dek'lek'inpu',NEG,api_generada
NEG_NEW_006,Sin yuca.,ker'lek'inpu',NEG,api_generada
NEG_NEW_007,Sin fuego.,penlek'inpu',NEG,api_generada
NEG_NEW_008,Sin leña.,diuk'lek'inpu',NEG,api_generada
NEG_NEW_009,Sin chicha.,uklupidek'lek'inpu',NEG,api_generada
NEG_NEW_010,Sin maíz.,chiter'lek'inpu',NEG,api_generada
NEG_NEW_011,Sin camino.,de'kunlek'inpu',NEG,api_generada
NEG_NEW_012,Sin peces.,samerlek'inpu',NEG,api_generada
NEG_NEW_013,Sin comida.,wueranlek'inpu',NEG,api_generada
NEG_NEW_014,Sin abuelos.,papinkulusa'lek'inpu',NEG,api_generada
NEG_NEW_015,Me falta agua.,pawantulek  dek,NEG,api_generada
NEG_NEW_016,Me falta leña.,pawantulek  dek,NEG,api_generada
NEG_NEW_017,Me cuesta.,pa'tulliu,NEG,api_generada
NEG_NEW_018,Me falta yuca.,pawantuliu  ker',NEG,api_generada
NEG_NEW_019,Nadie llega.,ñiden  ektu'p'ñi,NEG,api_generada
NEG_NEW_020,Nadie sabe.,ñiden  ñinchichi'ñi,NEG,api_generada
NEG_NEW_021,Nadie viene.,ñiden  uk'api'ñi,NEG,api_generada
NEG_NEW_022,Nadie pesca.,ñiden  pur'api'ñi,NEG,api_generada
NEG_NEW_023,Nadie siembra.,ñiden  tra'tapi'ñi,NEG,api_generada
NEG_NEW_024,Nadie habla.,ñiden. Lunpi'ñi,NEG,api_generada
NEG_NEW_025,Nadie muele.,ñiden  peksantapi'ñi,NEG,api_generada
NEG_NEW_026,Nadie tuesta.,ñiden inyatapi'ñi,NEG,api_generada
NEG_NEW_027,Nadie enseña.,ñiden. A'lektapi'ñi,NEG,api_generada
NEG_NEW_028,Nunca pescamos.,ñinpi'  pur'api'ñidek,NEG,api_generada
NEG_NEW_029,Nunca llega.,ñinpi'  ektu'pi'ñi,NEG,api_generada
NEG_NEW_030,Nunca siembra.,ñinpi'  tra'pi'ñi,NEG,api_generada
NEG_NEW_031,Nunca amanece.,ñinpi'  uklliapi'ñi,NEG,api_generada
NEG_NEW_032,Jamás voy.,ñinpi'sha. Pa'i'chek,NEG,api_generada
NEG_NEW_033,Nunca cocinamos.,ñinpi'  kalu'chi'ñidek,NEG,api_generada
NEG_NEW_034,Jamás enseña.,ñinpi'sha  a'lekchi'ñi,NEG,api_generada
NEG_NEW_035,Jamás mastica.,ñinpi'sha  uklupi'li,NEG,api_generada
NEG_NEW_036,Nunca toma chicha.,ñinpi'  uapi'ñi. Uklupidek,NEG,api_generada
NEG_NEW_037,Ya no hay.,a'pinta'  ñi'ñi,NEG,api_generada
NEG_NEW_038,Ya se fue.,ipa'  pa'lli,NEG,api_generada
NEG_NEW_039,Se acabó.,ta'wantulli,NEG,api_generada
NEG_NEW_040,Se perdió.,wuer'lli,NEG,api_generada
NEG_NEW_041,Ya no pesca.,yanakuta,NEG,api_generada
